,userIndex,gameID,hours
482,47.0,363.0,18.2
483,47.0,77.0,18.1
484,47.0,364.0,17.3
485,47.0,22.0,17.1
486,47.0,365.0,15.4
487,47.0,149.0,15.0
488,47.0,366.0,14.5
489,47.0,367.0,14.4
490,47.0,368.0,14.0
491,47.0,369.0,13.8
492,47.0,370.0,13.8
493,47.0,371.0,13.5
494,47.0,372.0,12.8
495,47.0,59.0,12.7
496,47.0,373.0,12.6
497,47.0,374.0,12.4
498,47.0,375.0,12.4
499,47.0,376.0,11.6
500,47.0,377.0,11.3
501,47.0,96.0,11.3
502,47.0,203.0,11.2
503,47.0,37.0,11.1
504,47.0,232.0,11.0
505,47.0,378.0,10.7
506,47.0,379.0,10.5
507,47.0,380.0,10.4
508,47.0,290.0,10.1
509,47.0,381.0,9.8
510,47.0,382.0,9.7
511,47.0,108.0,9.7
512,47.0,383.0,9.4
513,47.0,384.0,9.3
514,47.0,317.0,9.0
515,47.0,385.0,8.8
516,47.0,386.0,8.4
517,47.0,69.0,7.9
518,47.0,387.0,7.8
519,47.0,388.0,7.8
520,47.0,389.0,7.7
521,47.0,390.0,7.7
522,47.0,231.0,7.7
523,47.0,308.0,7.6
524,47.0,236.0,7.5
525,47.0,391.0,7.4
526,47.0,135.0,7.2
527,47.0,392.0,7.2
528,47.0,393.0,7.2
529,47.0,131.0,7.0
530,47.0,394.0,7.0
531,47.0,395.0,7.0
532,47.0,396.0,6.8
533,47.0,397.0,6.7
534,47.0,398.0,6.7
535,47.0,334.0,6.6
536,47.0,399.0,6.6
537,47.0,167.0,6.5
538,47.0,400.0,6.5
539,47.0,175.0,6.1
540,47.0,401.0,5.9
541,47.0,402.0,5.7
542,47.0,403.0,5.6
543,47.0,404.0,5.6
544,47.0,49.0,5.5
545,47.0,39.0,5.5
546,47.0,405.0,5.4
547,47.0,406.0,5.3
548,47.0,329.0,5.3
549,47.0,407.0,5.3
550,47.0,408.0,5.2
551,47.0,409.0,5.1
552,47.0,410.0,4.9
553,47.0,411.0,4.7
554,47.0,412.0,4.6
555,47.0,413.0,4.5
556,47.0,414.0,4.4
557,47.0,415.0,4.4
