,user
612,156407138
613,293360401
614,140065934
615,1364546
616,181608676
617,192277804
618,83813208
619,86150792
620,130290346
621,214736709
622,101487265
623,76319436
624,58977564
625,205546094
626,182399789
627,156458299
628,64787956
629,41883229
630,139854220
631,131973876
632,163861892
633,187374370
634,302345333
635,303322239
636,299060755
637,180743752
638,188241866
639,106057222
640,178883999
641,170267441
642,277003854
643,212310741
644,44482198
645,89286594
646,299364834
647,192264666
648,112088340
649,200175559
650,138570935
651,178007464
652,194680258
653,75034989
654,248878320
655,29383643
656,195171884
657,128478373
658,37179655
659,135177440
660,139396034
661,300089223
662,90650405
663,55623839
664,136913396
665,110150300
666,60594845
667,141566602
668,12070928
669,205827348
670,299833904
671,291846968
672,74565055
673,80022321
674,109271976
675,242469861
676,58029555
677,91881892
678,49845280
679,58667850
680,234559223
681,111456195
682,113423671
683,181840406
684,79411077
685,208127048
686,167202599
687,191507469
688,77136810
689,249232725
690,32467994
691,259053705
692,138656604
693,271808456
694,246303844
695,299914260
696,121360145
697,203745259
698,206398775
699,159129006
700,238773402
701,164271888
702,83751255
703,278099058
704,30527047
705,163662283
706,172086978
707,96977722
708,184812615
709,207234237
710,241603501
711,144565105
712,118725402
713,160640171
714,156799348
715,4485779
716,295708462
717,304497842
718,168925642
719,93575977
720,68316900
721,153026960
722,27417971
723,102825821
724,218680215
725,285380840
726,71943253
727,167106826
728,142475478
729,154281477
730,239299518
731,86915561
732,150882304
733,277679482
734,160264413
735,98312003
736,141693292
737,161444156
738,54194546
739,148860618
740,200491490
741,199899325
742,160427210
743,242815838
744,167360036
745,140672677
746,204888877
747,283498338
748,208491021
749,299776839
750,54739142
751,299489226
752,196237754
753,30988672
754,149053502
755,297517705
756,128964236
757,279734186
758,302553338
759,204495708
760,180534642
761,260320188
762,237554603
763,196862501
764,207270682
765,147602462
766,76171050
767,200471514
768,221083006
769,58439284
770,206696458
771,137508279
772,169277417
773,309038666
774,186597710
775,73141776
776,90362252
777,52907921
778,178269176
779,171932001
780,152082114
781,164699741
782,158211774
783,201081230
784,146813551
785,103574570
786,101315169
787,179001580
788,56790646
789,299440710
790,266829332
791,58768356
792,240477898
793,251706843
794,130324181
795,12610800
796,231029951
797,136778642
798,30036927
799,172666220
800,186305384
801,181118785
802,83420834
803,106170243
804,187588985
805,64394438
806,225245513
807,231808839
808,21138994
809,160550083
810,104032602
811,158655873
812,242782489
813,260048725
814,73012771
815,271030096
816,97017439
817,179014686
818,126471719
819,169061944
820,11973378
821,99992274
822,291293152
823,75277726
824,118664413
825,186139058
826,178290786
827,184899103
828,163043651
829,248532700
830,166747492
831,28696163
832,220489263
833,146999982
834,78341587
835,108183518
836,106235885
837,87832209
838,115806772
839,18869916
840,10216256
841,259994621
842,65421540
843,5232588
844,37092665
845,67628444
846,195800610
847,206210282
848,17299575
849,287668512
850,193442134
851,15680561
852,101030173
853,57798235
854,286468828
855,288449536
856,138483324
857,139769742
858,215833301
859,260132853
860,217917011
861,77792512
862,285282740
863,147859903
864,95761491
865,47506504
866,154527422
867,204829406
868,190961031
869,170384573
870,90541290
871,82174211
872,162179898
873,192436140
874,238466173
875,298222970
876,303300985
877,207406826
878,85547059
879,260686668
880,96014467
881,38055594
882,215160630
883,218952383
884,224943279
885,229179750
886,68049243
887,115275499
888,168377116
889,181297952
890,216189719
891,159777976
892,4325465
893,41934963
894,48028873
895,291907288
896,51905751
897,57433226
898,95203343
899,222319850
900,217368291
901,193494703
902,303024195
903,202598205
904,161248480
905,215508170
906,131940023
907,297279953
908,252507011
909,172437595
910,95911580
911,130021142
912,175270022
913,126074325
914,239235805
915,93413084
916,189451813
917,64366280
918,136495026
919,236596014
920,200750585
921,41089194
922,24366790
923,98928829
924,242094123
925,89732768
926,152302676
927,124556386
928,87907200
929,206807160
930,110489310
931,194097479
932,241348923
933,123732393
934,216025815
935,158159336
936,228706143
937,298263185
938,296917506
939,174415183
940,191810425
941,86332470
942,221695617
943,54888069
944,289524714
945,86978692
946,181373107
947,193156880
948,15951451
949,64971477
950,222035871
951,107377573
952,171452409
953,251164636
954,173051184
955,74811317
956,50967861
957,156859477
958,298505728
959,62545742
960,204749083
961,273817824
962,294391279
963,103373255
964,23492094
965,201816765
966,132180557
967,195147702
968,200560312
969,39758678
970,7431946
971,200345112
972,196594918
973,274410276
974,241230534
975,115037563
976,194842424
977,236434806
978,239611310
979,114972372
980,281216836
981,70970228
982,77279068
983,245350724
984,111003429
985,159946174
986,269770460
987,216931933
988,80164199
989,129796010
990,249626280
991,307242646
992,306690580
993,154105212
994,20643309
995,31887973
996,250378500
997,215518655
998,199047757
999,198825628
1000,235359505
1001,144276946
1002,195694153
1003,255085221
1004,129825010
1005,98278869
1006,69587339
1007,234467038
1008,193471217
1009,95137775
1010,191747590
1011,163961414
1012,56333620
1013,309626088
1014,186885794
1015,102322335
1016,147251779
1017,96204317
1018,160922242
1019,286445618
1020,120639809
1021,205532682
1022,151481334
1023,225787781
1024,175720527
1025,196894502
1026,165020079
1027,55143039
1028,202600291
1029,127977081
